"sigla","pais","grupo_idh","regiao","ranking_idh","idh","idh_ev","idh_ee","idh_me","idh_rpc","gdi","gdi_idh_f","gdi_ev_f","gdi_ee_f","gdi_me_f","gdi_rpc_f","gdi_idh_m","gdi_ev_m","gdi_ee_m","gdi_me_m","gdi_rpc_m","extra_ap_f","extra_ap_m","extra_ft_f","extra_ft_m","extra_co2","extra_pop"
"QAT","Catar","Muito Alto","Países Árabes",40,0.875,81.559,13.26426983,10.1317219,95944.37754,1.027,0.892561376,83.101,15.28956032,11.79638314,47963.67663,0.869100423,80.626,12.64908981,9.737610384,114134.8423,4.444444444,95.55555556,61.73,95.33,39.88427351,2.695122
"ROU","Romênia","Muito Alto",NA,53,0.827,74.117,14.50753021,11.36019615,31641.38368,0.981,0.817798791,77.619,15.04965019,11.09125994,22594.6875,0.833503726,70.724,13.99917984,11.65099415,41297.21764,18.88412017,81.11587983,42.29,62.04,3.993603248,19.6592665
"RUS","Rússia (Federação Russa)","Muito Alto",NA,56,0.821,70.116,15.66174936,12.41152954,26991.84961,1.021,0.829113224,75.702,15.84734259,12.48219967,21781.1736,0.811700148,64.689,15.48440459,12.32425976,33000.80885,17.77059774,82.22940226,55.53,70.33,11.79848928,144.713314
"RWA","Ruanda","Baixo","África Sub-sahariana",161,0.548,67.129,11.38352013,4.878310204,2316.809277,0.921,0.523555778,69.244,11.49433041,4.522069931,1662.218331,0.568669607,64.813,11.28065968,5.351920128,3000.009352,54.71698113,45.28301887,54.76,66.21,0.115399861,13.7766975
"KNA","São Cristóvão e Nevis","Muito Alto","América Latina e Caribe",51,0.838,72.027,18.40703011,10.8494008,28441.68074,NA,NA,75.666,19.72978973,11.1219032,NA,NA,68.682,17.04659081,10.5768984,NA,31.25,68.75,NA,NA,4.672520271,0.0476575
"LCA","Santa Lúcia","Alto","América Latina e Caribe",108,0.725,71.294,12.71032047,8.576973425,14778.3463,1.013,0.728905001,74.887,13.39239979,8.837794323,11815.12887,0.719471901,68.005,12.05115986,8.326679395,17806.87554,24.13793103,75.86206897,62.66,75.83,2.594252189,0.1798575
"VCT","São Vicente e Granadinas","Alto","América Latina e Caribe",81,0.772,68.972,16.2530213,10.99625387,14049.14799,NA,NA,71.731,16.42287899,11.03757668,NA,NA,66.693,16.09251246,10.98694817,NA,18.18181818,81.81818182,NA,NA,2.267377219,0.1039475
"WSM","Samoa","Alto","Ásia do Leste e Pacífico",116,0.702,72.598,12.4364,11.36735585,4970.232074,0.968,0.686605036,75.333,12.98814,11.76791141,3314.285804,0.709133201,70.146,11.93062,10.95704259,6562.379682,12.96296296,87.03703704,49.8,80.63,1.153480463,0.222382
"SMR","San Marino","Muito Alto",NA,43,0.867,83.433,12.40295982,10.52074301,57686.54334,0.966,0.852912779,84.733,11.98106003,10.6984396,50410.10236,0.883209541,82.036,12.88761044,10.51924979,65363.01089,33.33333333,66.66666667,70.36,70.58,NA,0.0336605
"STP","São Tome e Príncipe","Mediano","África Sub-sahariana",141,0.613,68.794,12.6637182,5.915788918,4054.106945,NA,NA,71.938,12.93469946,5.273353992,NA,NA,66.054,12.4790407,6.690563659,NA,14.54545455,85.45454545,NA,NA,0.653094703,0.2273795
"SAU","Arábia Saudita","Muito Alto","Países Árabes",40,0.875,77.905,15.17204484,11.31052971,50620.43706,0.928,0.832017761,79.525,15.52692067,10.73622036,24647.00035,0.896577417,76.666,14.817169,11.67045021,69723.10773,19.86754967,80.13245033,34.46,79.64,17.56422655,36.40882
"SEN","Senegal","Baixo","África Sub-sahariana",169,0.517,67.913,9.144550323,2.88736686,3463.806076,0.925,0.495771393,70.2,9.885959625,2.344075379,2256.290564,0.5361777,65.473,8.420060158,3.749680778,4711.642134,44.24242424,55.75757576,39.31,68.37,0.683799933,17.316449
"SRB","Sérvia","Muito Alto","Europa e Ásia Central",65,0.805,74.137,14.50444031,11.5047611,19494.00891,0.986,0.799076289,76.975,15.19604015,11.18731102,15909.29829,0.810054566,71.276,13.84924984,11.85118344,23388.21081,36.55462185,63.44537815,50.97,66.1,6.017170065,7.2213655
"SYC","Seichelles","Muito Alto","África Sub-sahariana",67,0.802,71.738,13.89179039,11.19995,28385.74806,1.064,0.828841854,76.042,15.44649982,12.03576,24755.95126,0.778751744,68.237,12.60849953,10.36414,31650.50554,22.85714286,77.14285714,65.23,65.25,6.223478694,0.1071185
"SLE","Serra Leoa","Baixo","África Sub-sahariana",184,0.458,60.411,9.016348244,3.519426358,1612.666542,0.885,0.432336767,61.693,9.446272874,2.426674879,1325.681618,0.488413833,59.115,8.966736887,4.805853409,1898.409207,12.32876712,87.67123288,48.28,55.91,0.131795192,8.605718
"SGP","Cingapura","Muito Alto","Ásia do Leste e Pacífico",9,0.949,84.133,16.90273094,11.92488003,88761.14559,0.991,0.945324824,86.295,17.03401947,11.62705994,76610.8678,0.95407755,81.981,16.81064034,12.2547102,99844.2365,29.12621359,70.87378641,63.37,77,9.397481258,5.9756885
"SVK","Eslováquia","Muito Alto",NA,45,0.855,75.33,14.72154999,13.00719575,32171.24606,1.002,0.855647033,78.813,15.27138042,12.98776118,26633.64435,0.853861092,71.929,14.19748974,13.02834917,37966.64017,21.33333333,78.66666667,56.18,67.25,6.455440557,5.643453
"SVN","Eslovênia","Muito Alto",NA,22,0.926,82.133,17.40657997,12.88015724,41586.89849,0.999,0.923820774,84.616,18.34461021,12.93550703,35263.69953,0.924914759,79.626,16.58584023,12.82303929,47842.54054,33.07692308,66.92307692,54.25,63.58,6.16209228,2.119844
"SLB","Ilhas Salomão","Mediano","Ásia do Leste e Pacífico",156,0.562,70.742,10.30071445,5.8796802,2273.311097,0.959,0.554388815,72.358,11.0673969,5.509549573,1997.656674,0.57817317,69.294,9.664592558,6.84283385,2537.394949,8,92,82.94,85.98,0.426699969,0.7242725
"SOM","Somália","Baixo","Países Árabes",193,0.38,56.107,7.647232333,1.900300026,1072.201461,0.769,0.327082937,58.233,7.5813078,0.885770023,578.2964179,0.425210819,54.072,8.34582125,2.914999962,1563.454431,20.73170732,79.26829268,22.32,49.31,0.038125863,17.597511
"ZAF","África do Sul","Alto","África Sub-sahariana",110,0.717,61.48,14.26364994,11.60696983,13185.56419,0.985,0.710137452,64.181,14.84506989,11.4988699,10423.35232,0.720676609,58.597,13.69876003,11.72364044,16095.30677,45.37444934,54.62555066,50.82,63.46,7.166394002,59.8938855
"SSD","Sudão do Sul","Baixo","África Sub-sahariana",192,0.381,55.567,5.634770141,5.726140022,690.6607575,NA,NA,57.047,4.510310007,4.762169838,NA,NA,54.036,6.738390029,6.189479828,NA,32.33438486,67.66561514,NA,NA,0.171581069,10.9131635
"ESP","Espanha","Muito Alto",NA,27,0.911,83.912,17.80905914,10.60540009,40043.33773,0.988,0.901995576,86.549,18.43926048,10.52787018,32834.64684,0.913042885,81.2,17.20244026,10.68844986,47542.89462,41.36807818,58.63192182,53.19,62.86,4.849112709,47.5586295
"LKA","Sri Lanka","Alto","Ásia do Sul",78,0.78,76.61,13.64182201,11.24960995,11899.49847,0.947,0.750765016,80.23,14.11550272,11.12806034,6241.114077,0.792700012,72.851,13.18408462,11.38661957,17989.8154,5.333333333,94.66666667,29.68,70.69,0.924001861,21.832143
"SDN","Sudão","Baixo","Países Árabes",170,0.516,65.578,8.501687381,3.87,3514.765869,0.868,0.472282386,68.184,8.280140314,3.5,1750.002217,0.543959635,63.048,8.723298593,4.23,5282.106061,31.04166667,68.95833333,28.04,69.07,0.485910197,46.874204
"SUR","Suriname","Mediano","América Latina e Caribe",124,0.69,70.289,10.95909977,8.388631804,12309.99659,0.987,0.68338723,73.577,11.33802032,8.558285912,8820.008976,0.692380914,67.189,10.58965015,8.20187956,15831.64226,29.41176471,70.58823529,42.3,61.69,6.007651084,0.6180405
"SWE","Suécia","Muito Alto",NA,5,0.952,83.505,19.03676987,12.67372015,56995.84796,0.983,0.940947399,85.092,20.65983009,12.84683271,47827.87972,0.957393264,81.902,17.5142498,12.49767169,66019.1684,46.41833811,53.58166189,63.68,70.38,3.680562051,10.549347
"CHE","Suíça","Muito Alto",NA,1,0.967,84.255,16.5837307,13.90406622,69432.78669,0.971,0.949369073,85.932,16.67786026,13.5494734,56927.80503,0.977382747,82.484,16.49819946,14.2685357,82109.4843,39.02439024,60.97560976,61.49,71.94,4.117550141,8.740472
"SYR","Síria","Mediano","Países Árabes",157,0.557,72.3,7.418754527,5.736797587,3594.10679,0.805,0.480880713,76.117,7.170177367,5.417379107,1048.66503,0.597196215,68.671,7.667331688,6.664290294,6132.19446,11.2,88.8,14.43,68.9,1.276342693,22.1252485
"TJK","Tadjiquistão","Mediano","Europa e Ásia Central",126,0.679,71.288,10.86102637,11.28955089,4807.213923,0.919,0.646830216,73.518,10.43384543,10.89829118,3294.847257,0.704031627,69.189,11.27416828,11.64002201,6300.051626,26.59574468,73.40425532,33.31,52.09,1.02362405,9.952787
"TZA","Tanzânia","Baixo","África Sub-sahariana",167,0.532,66.782,8.585740089,5.639967963,2578.156006,0.94,0.516106183,68.93,8.723759651,5.104927611,2194.923507,0.548772873,64.72,8.450329781,6.280633125,2970.337277,36.8556701,63.1443299,75.5,84.52,0.24245485,65.497748
"THA","Tailândia","Muito Alto","Ásia do Leste e Pacífico",66,0.803,79.68,15.58131027,8.834560711,16886.51113,1.011,0.807009612,83.929,15.88201046,8.724169622,15289.05253,0.798492422,75.473,15.29454041,8.952895873,18579.65531,13.97557666,86.02442334,59.86,75.96,3.732051446,71.6970295
"TLS","Timor Leste","Mediano","Ásia do Leste e Pacífico",155,0.566,69.056,13.24177562,6.020059751,1629.160441,0.904,0.534121006,70.815,13.4255446,5.50932282,1145.36569,0.590660294,67.435,13.07257379,6.620224056,2094.126343,40,60,27.91,41.38,0.502444468,1.341296
